G2,Ἀαρών
G1407,δρέπανον
G1411,δύναμις-2
G1413,δυνάστης
G1415,δυνατός
G1430,δῶμα
G1435,δῶρον
G1445,Ἑβραῖος
G1446,Ἑβραΐς
G1447,Ἑβραϊστί
G1453,ἐγείρω
G1482,ἐθνικός
G1484,ἔθνος-1
G1494,εἰδωλόθυτον
G1495,εἰδωλολατρια
G1496,εἰδωλολάτρης
G1497,εἴδωλον
G1504,εἰκών
G1506,εἰλικρινής
G1514,εἰρηνεύω
G1515,εἰρήνη
G1516,εἰρηνικός
G1533,εἰσφερω
G1556,ἐκδικέω
G1557,ἐκδίκησις
G1571,ἐκκαθαίρω
G1577,ἐκκλησία
G1586,ἐκλέγω
G1588,ἐκλεκτός
G1589,ἐκλογή
G1598,ἐκπειράζω
G1636,ἐλαία-2
G1637,ἔλαιον
G1638,ἐλαιών
G1652,ἐλεεινός
G1653,ἐλεέω
G1655,ἐλεήμων
G1656,ἔλεος
G1662,Ἐλιακίμ-2
G1672,Ἕλλην
G1674,Ἑλληνίς
G1675,Ἑλληνιστής
G1676,Ἑλληνιστί
G1679,ἐλπίζω
G1680,ἐλπίς
G1738,ἔνδικος
G1741,ἔνδοξος
G1742,ἔνδυμα
G1772,ἔννομος
G1781,ἐντέλλομαι
G1783,ἔντευξις
G1785,ἐντολή
G1793,ἐνδώμησις
G1802,Ἑνώχ
G1805,ἐξαγοράζω
G1807,ἐξαιρέω
G1825,ἐξεγείρω
G1832,ἔξεστι(ν)-2
G1849,ἐξουσία
G1850,ἐξουσιάζω
G1860,ἐπαγγελία
G1861,ἐπαγγέλλομαι
G1862,ἐπάγγελμα
G1889,Ἐπαφρᾶς
G1891,Ἐπαφρόδιτος
G1915,ἐπίβλημα
G1932,ἐπιείκεια
G1933,ἐπιεικής
G1941,ἐπικαλέω
G1971,ἐπιποθέω
G1984,ἐπισκοπή
G1985,ἐπίσκοπος
G2003,ἐπιταγή
G2008,ἐπιτιμάω-2
G2032,ἐπουράνιος-1
G2037,Ἔραστος-2
G2056,ἔριφος
G2060,Ἑρμῆς-2
G2062,ἑρπετόν
G2065,ἐρωτάω
G2066,ἐσθής
G2072,ἔσοπτρον
G2074,Ἑσρώμ
G2096,Εὕα
G2097,εὐαγγελίζω
G2098,εὐαγγέλιον
G2114,εὐθυμέω
G2117,εὐθύς
G2127,κατευλογέω
G2128,εὐλογητός-2
G2129,εὐλογία
G2151,εὐσεβέω
G2155,εὔσπλαγχνος
G2166,Εὐφράτης
G2171,εὐχη
G2172,εὔχομαι
G2180,Ἐφέσιος
G2181,Ἔφεσος
G2190,ἐχθρός
G2191,ἔχιδνα
G2194,Ζαβουλών
G2197,Ζαχαρίας-2
G2198,ζάω
G2199,Ζεβεδαῖος
G2205,ζῆλος-2
G2207,ζηλωτής-2
G2216,Ζοροβαβέλ
G2218,ζυγός-2
G2222,ζωή
G2223,ζώνη
G2225,ζῳογονέω
G2226,ζῷον-2
G2227,ζῳοποιέω
G2238,ἡδύοσμον
G2243,Ἠλίας
G2264,Ἡρῴδης-3
G2265,Ἡρῳδιανοί
G2266,Ἡρῳδιάς
G2268,Ἠσαΐας
G2269,Ἠσαῦ
G2280,Θαδδαῖος
G2293,θαρσέω
G2302,θέατρον
G2304,θεῖος
G2310,θεμέλιος-2
G2311,θεμελιόω
G2316,θεός-2
G2321,Θεόφιλος
G2322,θεραπεία
G2323,θεραπεύω
G2331,Θεσσαλονικεύς
G2332,Θεσσαλονίκη
G2342,θηρίον-3
G2344,θησαυρός-3
G2356,θρησκεία
G2362,θρόνος
G2363,Θυάτειρα
G2368,θυμίαμα
G2374,θύρα-2
G2376,θυρίς
G2377,θυρωρός
G2378,θυσία
