weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur
161,405.51,499.13,642.83,603.63,718.69,737.67,885.95
162,405.51,499.13,642.83,603.63,718.69,737.67,885.95
163,405.51,499.13,642.83,603.63,718.69,737.67,885.95
164,405.51,499.13,642.83,603.63,718.69,737.67,885.95
165,405.51,499.13,642.83,603.63,718.69,737.67,885.95
166,417.25,513.6,660.43,619.63,737.29,756.47,908.53
167,417.25,513.6,660.43,619.63,737.29,756.47,908.53
168,417.25,513.6,660.43,619.63,737.29,756.47,908.53
169,417.25,513.6,660.43,619.63,737.29,756.47,908.53
170,417.25,513.6,660.43,619.63,737.29,756.47,908.53
171,428.99,528.07,678.03,635.63,755.89,775.27,931.11
172,428.99,528.07,678.03,635.63,755.89,775.27,931.11
173,428.99,528.07,678.03,635.63,755.89,775.27,931.11
174,428.99,528.07,678.03,635.63,755.89,775.27,931.11
175,428.99,528.07,678.03,635.63,755.89,775.27,931.11
176,440.73,542.54,695.63,651.63,774.49,794.07,953.69
177,440.73,542.54,695.63,651.63,774.49,794.07,953.69
178,440.73,542.54,695.63,651.63,774.49,794.07,953.69
179,440.73,542.54,695.63,651.63,774.49,794.07,953.69
180,440.73,542.54,695.63,651.63,774.49,794.07,953.69
181,452.47,557.01,713.23,667.63,793.09,812.87,976.27
182,452.47,557.01,713.23,667.63,793.09,812.87,976.27
183,452.47,557.01,713.23,667.63,793.09,812.87,976.27
184,452.47,557.01,713.23,667.63,793.09,812.87,976.27
185,452.47,557.01,713.23,667.63,793.09,812.87,976.27
186,464.21,571.48,730.83,683.63,811.69,831.67,998.85
187,464.21,571.48,730.83,683.63,811.69,831.67,998.85
188,464.21,571.48,730.83,683.63,811.69,831.67,998.85
189,464.21,571.48,730.83,683.63,811.69,831.67,998.85
190,464.21,571.48,730.83,683.63,811.69,831.67,998.85
191,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
192,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
193,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
194,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
195,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
196,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
197,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
198,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
199,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
200,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
