weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur,zone_8_eur,zone_9_eur,zone_10_eur,zone_11_eur
32.5,112.93,165.1,219.13,226.0,287.63,306.89,368.59,414.48,597.85,859.8,1034.62
33.0,112.93,165.1,219.13,226.0,287.63,306.89,368.59,414.48,597.85,859.8,1034.62
33.5,116.03,170.09,226.05,232.33,295.04,314.42,377.63,427.15,614.38,880.2,1055.9
34.0,116.03,170.09,226.05,232.33,295.04,314.42,377.63,427.15,614.38,880.2,1055.9
34.5,119.13,175.08,232.97,238.66,302.45,321.95,386.67,439.82,630.91,900.6,1077.18
35.0,119.13,175.08,232.97,238.66,302.45,321.95,386.67,439.82,630.91,900.6,1077.18
35.5,122.23,180.07,239.89,244.99,309.86,329.48,395.71,452.49,647.44,921.0,1098.46
36.0,122.23,180.07,239.89,244.99,309.86,329.48,395.71,452.49,647.44,921.0,1098.46
36.5,125.33,185.06,246.81,251.32,317.27,337.01,404.75,465.16,663.97,941.4,1119.74
37.0,125.33,185.06,246.81,251.32,317.27,337.01,404.75,465.16,663.97,941.4,1119.74
37.5,128.43,190.05,253.73,257.65,324.68,344.54,413.79,477.83,680.5,961.8,1141.02
38.0,128.43,190.05,253.73,257.65,324.68,344.54,413.79,477.83,680.5,961.8,1141.02
38.5,131.53,195.04,260.65,263.98,332.09,352.07,422.83,490.5,697.03,982.2,1162.3
39.0,131.53,195.04,260.65,263.98,332.09,352.07,422.83,490.5,697.03,982.2,1162.3
39.5,134.63,200.03,267.57,270.31,339.5,359.6,431.87,503.17,713.56,1002.6,1183.58
40.0,134.63,200.03,267.57,270.31,339.5,359.6,431.87,503.17,713.56,1002.6,1183.58
40.5,137.73,205.02,274.49,276.64,346.91,367.13,440.91,515.84,730.09,1023.0,1204.86
41.0,137.73,205.02,274.49,276.64,346.91,367.13,440.91,515.84,730.09,1023.0,1204.86
41.5,140.83,210.01,281.41,282.97,354.32,374.66,449.95,528.51,746.62,1043.4,1226.14
42.0,140.83,210.01,281.41,282.97,354.32,374.66,449.95,528.51,746.62,1043.4,1226.14
42.5,143.93,215.0,288.33,289.3,361.73,382.19,458.99,541.18,763.15,1063.8,1247.42
43.0,143.93,215.0,288.33,289.3,361.73,382.19,458.99,541.18,763.15,1063.8,1247.42
43.5,147.03,219.99,295.25,295.63,369.14,389.72,468.03,553.85,779.68,1084.2,1268.7
44.0,147.03,219.99,295.25,295.63,369.14,389.72,468.03,553.85,779.68,1084.2,1268.7
44.5,150.13,224.98,302.17,301.96,376.55,397.25,477.07,566.52,796.21,1104.6,1289.98
45.0,150.13,224.98,302.17,301.96,376.55,397.25,477.07,566.52,796.21,1104.6,1289.98
45.5,153.23,229.97,309.09,308.29,383.96,404.78,486.11,579.19,812.74,1125.0,1311.26
46.0,153.23,229.97,309.09,308.29,383.96,404.78,486.11,579.19,812.74,1125.0,1311.26
46.5,156.33,234.96,316.01,314.62,391.37,412.31,495.15,591.86,829.27,1145.4,1332.54
47.0,156.33,234.96,316.01,314.62,391.37,412.31,495.15,591.86,829.27,1145.4,1332.54
47.5,159.43,239.95,322.93,320.95,398.78,419.84,504.19,604.53,845.8,1165.8,1353.82
48.0,159.43,239.95,322.93,320.95,398.78,419.84,504.19,604.53,845.8,1165.8,1353.82
48.5,162.53,244.94,329.85,327.28,406.19,427.37,513.23,617.2,862.33,1186.2,1375.1
49.0,162.53,244.94,329.85,327.28,406.19,427.37,513.23,617.2,862.33,1186.2,1375.1
49.5,165.63,249.93,336.77,333.61,413.6,434.9,522.27,629.87,878.86,1206.6,1396.38
50.0,165.63,249.93,336.77,333.61,413.6,434.9,522.27,629.87,878.86,1206.6,1396.38
50.5,168.73,254.92,343.69,339.94,421.01,442.43,531.31,642.54,895.39,1227.0,1417.66
51.0,168.73,254.92,343.69,339.94,421.01,442.43,531.31,642.54,895.39,1227.0,1417.66
51.5,171.83,259.91,350.61,346.27,428.42,449.96,540.35,655.21,911.92,1247.4,1438.94
52.0,171.83,259.91,350.61,346.27,428.42,449.96,540.35,655.21,911.92,1247.4,1438.94
52.5,174.93,264.9,357.53,352.6,435.83,457.49,549.39,667.88,928.45,1267.8,1460.22
53.0,174.93,264.9,357.53,352.6,435.83,457.49,549.39,667.88,928.45,1267.8,1460.22
53.5,178.03,269.89,364.45,358.93,443.24,465.02,558.43,680.55,944.98,1288.2,1481.5
54.0,178.03,269.89,364.45,358.93,443.24,465.02,558.43,680.55,944.98,1288.2,1481.5
54.5,181.13,274.88,371.37,365.26,450.65,472.55,567.47,693.22,961.51,1308.6,1502.78
55.0,181.13,274.88,371.37,365.26,450.65,472.55,567.47,693.22,961.51,1308.6,1502.78
55.5,184.23,279.87,378.29,371.59,458.06,480.08,576.51,705.89,978.04,1329.0,1524.06
56.0,184.23,279.87,378.29,371.59,458.06,480.08,576.51,705.89,978.04,1329.0,1524.06
56.5,187.33,284.86,385.21,377.92,465.47,487.61,585.55,718.56,994.57,1349.4,1545.34
57.0,187.33,284.86,385.21,377.92,465.47,487.61,585.55,718.56,994.57,1349.4,1545.34
57.5,190.43,289.85,392.13,384.25,472.88,495.14,594.59,731.23,1011.1,1369.8,1566.62
58.0,190.43,289.85,392.13,384.25,472.88,495.14,594.59,731.23,1011.1,1369.8,1566.62
58.5,193.53,294.84,399.05,390.58,480.29,502.67,603.63,743.9,1027.63,1390.2,1587.9
59.0,193.53,294.84,399.05,390.58,480.29,502.67,603.63,743.9,1027.63,1390.2,1587.9
59.5,196.63,299.83,405.97,396.91,487.7,510.2,612.67,756.57,1044.16,1410.6,1609.18
60.0,196.63,299.83,405.97,396.91,487.7,510.2,612.67,756.57,1044.16,1410.6,1609.18
60.5,199.73,304.82,412.89,403.24,495.11,517.73,621.71,769.24,1060.69,1431.0,1630.46
61.0,199.73,304.82,412.89,403.24,495.11,517.73,621.71,769.24,1060.69,1431.0,1630.46
61.5,202.83,309.81,419.81,409.57,502.52,525.26,630.75,781.91,1077.22,1451.4,1651.74
62.0,202.83,309.81,419.81,409.57,502.52,525.26,630.75,781.91,1077.22,1451.4,1651.74
62.5,205.93,314.8,426.73,415.9,509.93,532.79,639.79,794.58,1093.75,1471.8,1673.02
63.0,205.93,314.8,426.73,415.9,509.93,532.79,639.79,794.58,1093.75,1471.8,1673.02
63.5,209.03,319.79,433.65,422.23,517.34,540.32,648.83,807.25,1110.28,1492.2,1694.3
64.0,209.03,319.79,433.65,422.23,517.34,540.32,648.83,807.25,1110.28,1492.2,1694.3
64.5,212.13,324.78,440.57,428.56,524.75,547.85,657.87,819.92,1126.81,1512.6,1715.58
65.0,212.13,324.78,440.57,428.56,524.75,547.85,657.87,819.92,1126.81,1512.6,1715.58
65.5,215.23,329.77,447.49,434.89,532.16,555.38,666.91,832.59,1143.34,1533.0,1736.86
66.0,215.23,329.77,447.49,434.89,532.16,555.38,666.91,832.59,1143.34,1533.0,1736.86
66.5,218.33,334.76,454.41,441.22,539.57,562.91,675.95,845.26,1159.87,1553.4,1758.14
67.0,218.33,334.76,454.41,441.22,539.57,562.91,675.95,845.26,1159.87,1553.4,1758.14
67.5,221.43,339.75,461.33,447.55,546.98,570.44,684.99,857.93,1176.4,1573.8,1779.42
68.0,221.43,339.75,461.33,447.55,546.98,570.44,684.99,857.93,1176.4,1573.8,1779.42
68.5,224.53,344.74,468.25,453.88,554.39,577.97,694.03,870.6,1192.93,1594.2,1800.7
69.0,224.53,344.74,468.25,453.88,554.39,577.97,694.03,870.6,1192.93,1594.2,1800.7
69.5,227.63,349.73,475.17,460.21,561.8,585.5,703.07,883.27,1209.46,1614.6,1821.98
70.0,227.63,349.73,475.17,460.21,561.8,585.5,703.07,883.27,1209.46,1614.6,1821.98
70.5,232.15,356.99,485.26,469.47,572.62,596.49,716.27,901.62,1233.59,1643.62,1852.29
71.0,232.15,356.99,485.26,469.47,572.62,596.49,716.27,901.62,1233.59,1643.62,1852.29
71.5,236.67,364.25,495.35,478.73,583.44,607.48,729.47,919.97,1257.72,1672.64,1882.6
72.0,236.67,364.25,495.35,478.73,583.44,607.48,729.47,919.97,1257.72,1672.64,1882.6
72.5,241.19,371.51,505.44,487.99,594.26,618.47,742.67,938.32,1281.85,1701.66,1912.91
73.0,241.19,371.51,505.44,487.99,594.26,618.47,742.67,938.32,1281.85,1701.66,1912.91
73.5,245.71,378.77,515.53,497.25,605.08,629.46,755.87,956.67,1305.98,1730.68,1943.22
74.0,245.71,378.77,515.53,497.25,605.08,629.46,755.87,956.67,1305.98,1730.68,1943.22
74.5,250.23,386.03,525.62,506.51,615.9,640.45,769.07,975.02,1330.11,1759.7,1973.53
75.0,250.23,386.03,525.62,506.51,615.9,640.45,769.07,975.02,1330.11,1759.7,1973.53
75.5,254.75,393.29,535.71,515.77,626.72,651.44,782.27,993.37,1354.24,1788.72,2003.84
76.0,254.75,393.29,535.71,515.77,626.72,651.44,782.27,993.37,1354.24,1788.72,2003.84
76.5,259.27,400.55,545.8,525.03,637.54,662.43,795.47,1011.72,1378.37,1817.74,2034.15
77.0,259.27,400.55,545.8,525.03,637.54,662.43,795.47,1011.72,1378.37,1817.74,2034.15
77.5,263.79,407.81,555.89,534.29,648.36,673.42,808.67,1030.07,1402.5,1846.76,2064.46
78.0,263.79,407.81,555.89,534.29,648.36,673.42,808.67,1030.07,1402.5,1846.76,2064.46
78.5,268.31,415.07,565.98,543.55,659.18,684.41,821.87,1048.42,1426.63,1875.78,2094.77
79.0,268.31,415.07,565.98,543.55,659.18,684.41,821.87,1048.42,1426.63,1875.78,2094.77
79.5,272.83,422.33,576.07,552.81,670.0,695.4,835.07,1066.77,1450.76,1904.8,2125.08
80.0,272.83,422.33,576.07,552.81,670.0,695.4,835.07,1066.77,1450.76,1904.8,2125.08
80.5,277.35,429.59,586.16,562.07,680.82,706.39,848.27,1085.12,1474.89,1933.82,2155.39
81.0,277.35,429.59,586.16,562.07,680.82,706.39,848.27,1085.12,1474.89,1933.82,2155.39
81.5,281.87,436.85,596.25,571.33,691.64,717.38,861.47,1103.47,1499.02,1962.84,2185.7
82.0,281.87,436.85,596.25,571.33,691.64,717.38,861.47,1103.47,1499.02,1962.84,2185.7
82.5,286.39,444.11,606.34,580.59,702.46,728.37,874.67,1121.82,1523.15,1991.86,2216.01
