weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
36.0,nondoc_or_doc_5lb_plus,437.66,515.81,734.16,811.92,1423.76,732.9,892.44,716.23,1011.29,1544.99,596.48,1460.16,1003.69,1602.48
37.0,nondoc_or_doc_5lb_plus,446.17,524.51,750.64,827.84,1454.62,749.12,912.3,731.05,1033.27,1574.62,608.59,1489.33,1025.48,1637.25
38.0,nondoc_or_doc_5lb_plus,454.68,533.21,767.12,843.76,1485.48,765.34,932.16,745.87,1055.25,1604.25,620.7,1518.5,1047.27,1672.02
39.0,nondoc_or_doc_5lb_plus,463.19,541.91,783.6,859.68,1516.34,781.56,952.02,760.69,1077.23,1633.88,632.81,1547.67,1069.06,1706.79
40.0,nondoc_or_doc_5lb_plus,471.7,550.61,800.08,875.6,1547.2,797.78,971.88,775.51,1099.21,1663.51,644.92,1576.84,1090.85,1741.56
41.0,nondoc_or_doc_5lb_plus,480.21,559.31,816.56,891.52,1578.06,814.0,991.74,790.33,1121.19,1693.14,657.03,1606.01,1112.64,1776.33
42.0,nondoc_or_doc_5lb_plus,488.72,568.01,833.04,907.44,1608.92,830.22,1011.6,805.15,1143.17,1722.77,669.14,1635.18,1134.43,1811.1
43.0,nondoc_or_doc_5lb_plus,497.23,576.71,849.52,923.36,1639.78,846.44,1031.46,819.97,1165.15,1752.4,681.25,1664.35,1156.22,1845.87
44.0,nondoc_or_doc_5lb_plus,505.74,585.41,866.0,939.28,1670.64,862.66,1051.32,834.79,1187.13,1782.03,693.36,1693.52,1178.01,1880.64
45.0,nondoc_or_doc_5lb_plus,514.25,594.11,882.48,955.2,1701.5,878.88,1071.18,849.61,1209.11,1811.66,705.47,1722.69,1199.8,1915.41
46.0,nondoc_or_doc_5lb_plus,522.76,602.81,898.96,971.12,1732.36,895.1,1091.04,864.43,1231.09,1841.29,717.58,1751.86,1221.59,1950.18
47.0,nondoc_or_doc_5lb_plus,531.27,611.51,915.44,987.04,1763.22,911.32,1110.9,879.25,1253.07,1870.92,729.69,1781.03,1243.38,1984.95
48.0,nondoc_or_doc_5lb_plus,539.78,620.21,931.92,1002.96,1794.08,927.54,1130.76,894.07,1275.05,1900.55,741.8,1810.2,1265.17,2019.72
49.0,nondoc_or_doc_5lb_plus,548.29,628.91,948.4,1018.88,1824.94,943.76,1150.62,908.89,1297.03,1930.18,753.91,1839.37,1286.96,2054.49
