weight_kg,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10
0.5,3123,3874,4073,4162,4512,4621,4318,4395,5597,6587
1.0,3987,5043,5332,5379,5925,6013,5609,5535,7628,8447
1.5,4715,6030,6414,6490,7121,7172,6513,6463,8877,9988
2.0,5443,7017,7496,7601,8317,8331,7417,7391,10126,11529
2.5,7308,9209,9820,10052,10406,10553,8922,9176,12815,14552
3.0,7892,9939,10676,10908,11286,11484,9712,10000,13941,15998
3.5,8476,10669,11532,11764,12166,12415,10502,10824,15067,17444
4.0,9060,11399,12388,12620,13046,13346,11292,11648,16193,18890
4.5,9644,12129,13244,13476,13926,14277,12082,12472,17319,20336
5.0,10228,12859,14100,14332,14806,15208,12872,13296,18445,21782
5.5,10576,13279,14706,14949,15444,15834,13510,13987,19411,23001
6.0,10924,13699,15312,15566,16082,16460,14148,14678,20377,24220
6.5,11272,14119,15918,16183,16720,17086,14786,15369,21343,25439
7.0,11620,14539,16524,16800,17358,17712,15424,16060,22309,26658
7.5,11968,14959,17130,17417,17996,18338,16062,16751,23275,27877
8.0,12316,15379,17736,18034,18634,18964,16700,17442,24241,29096
8.5,12664,15799,18342,18651,19272,19590,17338,18133,25207,30315
9.0,13012,16219,18948,19268,19910,20216,17976,18824,26173,31534
9.5,13360,16639,19554,19885,20548,20842,18614,19515,27139,32753
10.0,13708,17059,20160,20502,21186,21468,19252,20206,28105,33972
11.0,14518,17641,21108,21430,22128,22478,20156,21380,29723,35716
12.0,15328,18223,22056,22358,23070,23488,21060,22554,31341,37460
13.0,16138,18805,23004,23286,24012,24498,21964,23728,32959,39204
14.0,16948,19387,23952,24214,24954,25508,22868,24902,34577,40948
15.0,17758,19969,24900,25142,25896,26518,23772,26076,36195,42692
16.0,18568,20551,25848,26070,26838,27528,24676,27250,37813,44436
17.0,19378,21133,26796,26998,27780,28538,25580,28424,39431,46180
18.0,20188,21715,27744,27926,28722,29548,26484,29598,41049,47924
19.0,20998,22297,28692,28854,29664,30558,27388,30772,42667,49668
20.0,21808,22879,29640,29782,30606,31568,28292,31946,44285,51412
21.0,22517,23851,30625,30768,32095,32949,29662,33338,45622,53608
22.0,23226,24823,31610,31754,33584,34330,31032,34730,46959,55804
23.0,23935,25795,32595,32740,35073,35711,32402,36122,48296,58000
24.0,24644,26767,33580,33726,36562,37092,33772,37514,49633,60196
25.0,25353,27739,34565,34712,38051,38473,35142,38906,50970,62392
26.0,26062,28711,35550,35698,39540,39854,36512,40298,52307,64588
27.0,26771,29683,36535,36684,41029,41235,37882,41690,53644,66784
28.0,27480,30655,37520,37670,42518,42616,39252,43082,54981,68980
29.0,28189,31627,38505,38656,44007,43997,40622,44474,56318,71176
30.0,28898,32599,39490,39642,45496,45378,41992,45866,57655,73372
31,29831.0,33655.0,40765.0,40922.0,46995.0,46883.0,43407.0,47385.0,59515.0,75750.0
32,30764.0,34711.0,42040.0,42202.0,48494.0,48388.0,44822.0,48904.0,61375.0,78128.0
33,31697.0,35767.0,43315.0,43482.0,49993.0,49893.0,46237.0,50423.0,63235.0,80506.0
34,32630.0,36823.0,44590.0,44762.0,51492.0,51398.0,47652.0,51942.0,65095.0,82884.0
35,33563.0,37879.0,45865.0,46042.0,52991.0,52903.0,49067.0,53461.0,66955.0,85262.0
36,34496.0,38935.0,47140.0,47322.0,54490.0,54408.0,50482.0,54980.0,68815.0,87640.0
37,35429.0,39991.0,48415.0,48602.0,55989.0,55913.0,51897.0,56499.0,70675.0,90018.0
38,36362.0,41047.0,49690.0,49882.0,57488.0,57418.0,53312.0,58018.0,72535.0,92396.0
39,37295.0,42103.0,50965.0,51162.0,58987.0,58923.0,54727.0,59537.0,74395.0,94774.0
40,38228.0,43159.0,52240.0,52442.0,60486.0,60428.0,56142.0,61056.0,76255.0,97152.0
41,39161.0,44215.0,53515.0,53722.0,61985.0,61933.0,57557.0,62575.0,78115.0,99530.0
42,40094.0,45271.0,54790.0,55002.0,63484.0,63438.0,58972.0,64094.0,79975.0,101908.0
43,41027.0,46327.0,56065.0,56282.0,64983.0,64943.0,60387.0,65613.0,81835.0,104286.0
44,41960.0,47383.0,57340.0,57562.0,66482.0,66448.0,61802.0,67132.0,83695.0,106664.0
45,42893.0,48439.0,58615.0,58842.0,67981.0,67953.0,63217.0,68651.0,85555.0,109042.0
46,43826.0,49495.0,59890.0,60122.0,69480.0,69458.0,64632.0,70170.0,87415.0,111420.0
47,44759.0,50551.0,61165.0,61402.0,70979.0,70963.0,66047.0,71689.0,89275.0,113798.0
48,45692.0,51607.0,62440.0,62682.0,72478.0,72468.0,67462.0,73208.0,91135.0,116176.0
49,46625.0,52663.0,63715.0,63962.0,73977.0,73973.0,68877.0,74727.0,92995.0,118554.0
50,47558.0,53719.0,64990.0,65242.0,75476.0,75478.0,70292.0,76246.0,94855.0,120932.0
51,48491.0,54775.0,66265.0,66522.0,76975.0,76983.0,71707.0,77765.0,96715.0,123310.0
52,49424.0,55831.0,67540.0,67802.0,78474.0,78488.0,73122.0,79284.0,98575.0,125688.0
53,50357.0,56887.0,68815.0,69082.0,79973.0,79993.0,74537.0,80803.0,100435.0,128066.0
54,51290.0,57943.0,70090.0,70362.0,81472.0,81498.0,75952.0,82322.0,102295.0,130444.0
55,52223.0,58999.0,71365.0,71642.0,82971.0,83003.0,77367.0,83841.0,104155.0,132822.0
56,53156.0,60055.0,72640.0,72922.0,84470.0,84508.0,78782.0,85360.0,106015.0,135200.0
57,54089.0,61111.0,73915.0,74202.0,85969.0,86013.0,80197.0,86879.0,107875.0,137578.0
58,55022.0,62167.0,75190.0,75482.0,87468.0,87518.0,81612.0,88398.0,109735.0,139956.0
59,55955.0,63223.0,76465.0,76762.0,88967.0,89023.0,83027.0,89917.0,111595.0,142334.0
60,56888.0,64279.0,77740.0,78042.0,90466.0,90528.0,84442.0,91436.0,113455.0,144712.0
61,57821.0,65335.0,79015.0,79322.0,91965.0,92033.0,85857.0,92955.0,115315.0,147090.0
62,58754.0,66391.0,80290.0,80602.0,93464.0,93538.0,87272.0,94474.0,117175.0,149468.0
63,59687.0,67447.0,81565.0,81882.0,94963.0,95043.0,88687.0,95993.0,119035.0,151846.0
64,60620.0,68503.0,82840.0,83162.0,96462.0,96548.0,90102.0,97512.0,120895.0,154224.0
65,61553.0,69559.0,84115.0,84442.0,97961.0,98053.0,91517.0,99031.0,122755.0,156602.0
66,62486.0,70615.0,85390.0,85722.0,99460.0,99558.0,92932.0,100550.0,124615.0,158980.0
67,63419.0,71671.0,86665.0,87002.0,100959.0,101063.0,94347.0,102069.0,126475.0,161358.0
68,64352.0,72727.0,87940.0,88282.0,102458.0,102568.0,95762.0,103588.0,128335.0,163736.0
69,65285.0,73783.0,89215.0,89562.0,103957.0,104073.0,97177.0,105107.0,130195.0,166114.0
70,66218.0,74839.0,90490.0,90842.0,105456.0,105578.0,98592.0,106626.0,132055.0,168492.0
71,67114.0,75842.0,91702.0,92074.0,106886.0,107010.0,99988.0,108158.0,133869.0,170808.0
72,68010.0,76845.0,92914.0,93306.0,108316.0,108442.0,101384.0,109690.0,135683.0,173124.0
73,68906.0,77848.0,94126.0,94538.0,109746.0,109874.0,102780.0,111222.0,137497.0,175440.0
74,69802.0,78851.0,95338.0,95770.0,111176.0,111306.0,104176.0,112754.0,139311.0,177756.0
75,70698.0,79854.0,96550.0,97002.0,112606.0,112738.0,105572.0,114286.0,141125.0,180072.0
76,71594.0,80857.0,97762.0,98234.0,114036.0,114170.0,106968.0,115818.0,142939.0,182388.0
77,72490.0,81860.0,98974.0,99466.0,115466.0,115602.0,108364.0,117350.0,144753.0,184704.0
78,73386.0,82863.0,100186.0,100698.0,116896.0,117034.0,109760.0,118882.0,146567.0,187020.0
79,74282.0,83866.0,101398.0,101930.0,118326.0,118466.0,111156.0,120414.0,148381.0,189336.0
80,75178.0,84869.0,102610.0,103162.0,119756.0,119898.0,112552.0,121946.0,150195.0,191652.0
81,76074.0,85872.0,103822.0,104394.0,121186.0,121330.0,113948.0,123478.0,152009.0,193968.0
82,76970.0,86875.0,105034.0,105626.0,122616.0,122762.0,115344.0,125010.0,153823.0,196284.0
83,77866.0,87878.0,106246.0,106858.0,124046.0,124194.0,116740.0,126542.0,155637.0,198600.0
84,78762.0,88881.0,107458.0,108090.0,125476.0,125626.0,118136.0,128074.0,157451.0,200916.0
85,79658.0,89884.0,108670.0,109322.0,126906.0,127058.0,119532.0,129606.0,159265.0,203232.0
86,80554.0,90887.0,109882.0,110554.0,128336.0,128490.0,120928.0,131138.0,161079.0,205548.0
87,81450.0,91890.0,111094.0,111786.0,129766.0,129922.0,122324.0,132670.0,162893.0,207864.0
88,82346.0,92893.0,112306.0,113018.0,131196.0,131354.0,123720.0,134202.0,164707.0,210180.0
89,83242.0,93896.0,113518.0,114250.0,132626.0,132786.0,125116.0,135734.0,166521.0,212496.0
90,84138.0,94899.0,114730.0,115482.0,134056.0,134218.0,126512.0,137266.0,168335.0,214812.0
91,85034.0,95902.0,115942.0,116714.0,135486.0,135650.0,127908.0,138798.0,170149.0,217128.0
92,85930.0,96905.0,117154.0,117946.0,136916.0,137082.0,129304.0,140330.0,171963.0,219444.0
93,86826.0,97908.0,118366.0,119178.0,138346.0,138514.0,130700.0,141862.0,173777.0,221760.0
94,87722.0,98911.0,119578.0,120410.0,139776.0,139946.0,132096.0,143394.0,175591.0,224076.0
95,88618.0,99914.0,120790.0,121642.0,141206.0,141378.0,133492.0,144926.0,177405.0,226392.0
96,89514.0,100917.0,122002.0,122874.0,142636.0,142810.0,134888.0,146458.0,179219.0,228708.0
97,90410.0,101920.0,123214.0,124106.0,144066.0,144242.0,136284.0,147990.0,181033.0,231024.0
98,91306.0,102923.0,124426.0,125338.0,145496.0,145674.0,137680.0,149522.0,182847.0,233340.0
99,92202.0,103926.0,125638.0,126570.0,146926.0,147106.0,139076.0,151054.0,184661.0,235656.0
100,93098.0,104929.0,126850.0,127802.0,148356.0,148538.0,140472.0,152586.0,186475.0,237972.0
101,93994.0,105932.0,128062.0,129034.0,149786.0,149970.0,141868.0,154118.0,188289.0,240288.0
102,94890.0,106935.0,129274.0,130266.0,151216.0,151402.0,143264.0,155650.0,190103.0,242604.0
103,95786.0,107938.0,130486.0,131498.0,152646.0,152834.0,144660.0,157182.0,191917.0,244920.0
104,96682.0,108941.0,131698.0,132730.0,154076.0,154266.0,146056.0,158714.0,193731.0,247236.0
105,97578.0,109944.0,132910.0,133962.0,155506.0,155698.0,147452.0,160246.0,195545.0,249552.0
106,98474.0,110947.0,134122.0,135194.0,156936.0,157130.0,148848.0,161778.0,197359.0,251868.0
107,99370.0,111950.0,135334.0,136426.0,158366.0,158562.0,150244.0,163310.0,199173.0,254184.0
108,100266.0,112953.0,136546.0,137658.0,159796.0,159994.0,151640.0,164842.0,200987.0,256500.0
109,101162.0,113956.0,137758.0,138890.0,161226.0,161426.0,153036.0,166374.0,202801.0,258816.0
110,102058.0,114959.0,138970.0,140122.0,162656.0,162858.0,154432.0,167906.0,204615.0,261132.0
111,102954.0,115962.0,140182.0,141354.0,164086.0,164290.0,155828.0,169438.0,206429.0,263448.0
112,103850.0,116965.0,141394.0,142586.0,165516.0,165722.0,157224.0,170970.0,208243.0,265764.0
113,104746.0,117968.0,142606.0,143818.0,166946.0,167154.0,158620.0,172502.0,210057.0,268080.0
114,105642.0,118971.0,143818.0,145050.0,168376.0,168586.0,160016.0,174034.0,211871.0,270396.0
115,106538.0,119974.0,145030.0,146282.0,169806.0,170018.0,161412.0,175566.0,213685.0,272712.0
116,107434.0,120977.0,146242.0,147514.0,171236.0,171450.0,162808.0,177098.0,215499.0,275028.0
117,108330.0,121980.0,147454.0,148746.0,172666.0,172882.0,164204.0,178630.0,217313.0,277344.0
118,109226.0,122983.0,148666.0,149978.0,174096.0,174314.0,165600.0,180162.0,219127.0,279660.0
119,110122.0,123986.0,149878.0,151210.0,175526.0,175746.0,166996.0,181694.0,220941.0,281976.0
120,111018.0,124989.0,151090.0,152442.0,176956.0,177178.0,168392.0,183226.0,222755.0,284292.0
121,111914.0,125992.0,152302.0,153674.0,178386.0,178610.0,169788.0,184758.0,224569.0,286608.0
122,112810.0,126995.0,153514.0,154906.0,179816.0,180042.0,171184.0,186290.0,226383.0,288924.0
123,113706.0,127998.0,154726.0,156138.0,181246.0,181474.0,172580.0,187822.0,228197.0,291240.0
124,114602.0,129001.0,155938.0,157370.0,182676.0,182906.0,173976.0,189354.0,230011.0,293556.0
125,115498.0,130004.0,157150.0,158602.0,184106.0,184338.0,175372.0,190886.0,231825.0,295872.0
126,116394.0,131007.0,158362.0,159834.0,185536.0,185770.0,176768.0,192418.0,233639.0,298188.0
127,117290.0,132010.0,159574.0,161066.0,186966.0,187202.0,178164.0,193950.0,235453.0,300504.0
128,118186.0,133013.0,160786.0,162298.0,188396.0,188634.0,179560.0,195482.0,237267.0,302820.0
129,119082.0,134016.0,161998.0,163530.0,189826.0,190066.0,180956.0,197014.0,239081.0,305136.0
130,119978.0,135019.0,163210.0,164762.0,191256.0,191498.0,182352.0,198546.0,240895.0,307452.0
131,120874.0,136022.0,164422.0,165994.0,192686.0,192930.0,183748.0,200078.0,242709.0,309768.0
132,121770.0,137025.0,165634.0,167226.0,194116.0,194362.0,185144.0,201610.0,244523.0,312084.0
133,122666.0,138028.0,166846.0,168458.0,195546.0,195794.0,186540.0,203142.0,246337.0,314400.0
134,123562.0,139031.0,168058.0,169690.0,196976.0,197226.0,187936.0,204674.0,248151.0,316716.0
135,124458.0,140034.0,169270.0,170922.0,198406.0,198658.0,189332.0,206206.0,249965.0,319032.0
136,125354.0,141037.0,170482.0,172154.0,199836.0,200090.0,190728.0,207738.0,251779.0,321348.0
137,126250.0,142040.0,171694.0,173386.0,201266.0,201522.0,192124.0,209270.0,253593.0,323664.0
138,127146.0,143043.0,172906.0,174618.0,202696.0,202954.0,193520.0,210802.0,255407.0,325980.0
139,128042.0,144046.0,174118.0,175850.0,204126.0,204386.0,194916.0,212334.0,257221.0,328296.0
140,128938.0,145049.0,175330.0,177082.0,205556.0,205818.0,196312.0,213866.0,259035.0,330612.0
141,129834.0,146052.0,176542.0,178314.0,206986.0,207250.0,197708.0,215398.0,260849.0,332928.0
142,130730.0,147055.0,177754.0,179546.0,208416.0,208682.0,199104.0,216930.0,262663.0,335244.0
143,131626.0,148058.0,178966.0,180778.0,209846.0,210114.0,200500.0,218462.0,264477.0,337560.0
144,132522.0,149061.0,180178.0,182010.0,211276.0,211546.0,201896.0,219994.0,266291.0,339876.0
145,133418.0,150064.0,181390.0,183242.0,212706.0,212978.0,203292.0,221526.0,268105.0,342192.0
146,134314.0,151067.0,182602.0,184474.0,214136.0,214410.0,204688.0,223058.0,269919.0,344508.0
147,135210.0,152070.0,183814.0,185706.0,215566.0,215842.0,206084.0,224590.0,271733.0,346824.0
148,136106.0,153073.0,185026.0,186938.0,216996.0,217274.0,207480.0,226122.0,273547.0,349140.0
149,137002.0,154076.0,186238.0,188170.0,218426.0,218706.0,208876.0,227654.0,275361.0,351456.0
150,137898.0,155079.0,187450.0,189402.0,219856.0,220138.0,210272.0,229186.0,277175.0,353772.0
151,138794.0,156082.0,188662.0,190634.0,221286.0,221570.0,211668.0,230718.0,278989.0,356088.0
152,139690.0,157085.0,189874.0,191866.0,222716.0,223002.0,213064.0,232250.0,280803.0,358404.0
153,140586.0,158088.0,191086.0,193098.0,224146.0,224434.0,214460.0,233782.0,282617.0,360720.0
154,141482.0,159091.0,192298.0,194330.0,225576.0,225866.0,215856.0,235314.0,284431.0,363036.0
155,142378.0,160094.0,193510.0,195562.0,227006.0,227298.0,217252.0,236846.0,286245.0,365352.0
156,143274.0,161097.0,194722.0,196794.0,228436.0,228730.0,218648.0,238378.0,288059.0,367668.0
157,144170.0,162100.0,195934.0,198026.0,229866.0,230162.0,220044.0,239910.0,289873.0,369984.0
158,145066.0,163103.0,197146.0,199258.0,231296.0,231594.0,221440.0,241442.0,291687.0,372300.0
159,145962.0,164106.0,198358.0,200490.0,232726.0,233026.0,222836.0,242974.0,293501.0,374616.0
160,146858.0,165109.0,199570.0,201722.0,234156.0,234458.0,224232.0,244506.0,295315.0,376932.0
161,147754.0,166112.0,200782.0,202954.0,235586.0,235890.0,225628.0,246038.0,297129.0,379248.0
162,148650.0,167115.0,201994.0,204186.0,237016.0,237322.0,227024.0,247570.0,298943.0,381564.0
163,149546.0,168118.0,203206.0,205418.0,238446.0,238754.0,228420.0,249102.0,300757.0,383880.0
164,150442.0,169121.0,204418.0,206650.0,239876.0,240186.0,229816.0,250634.0,302571.0,386196.0
165,151338.0,170124.0,205630.0,207882.0,241306.0,241618.0,231212.0,252166.0,304385.0,388512.0
166,152234.0,171127.0,206842.0,209114.0,242736.0,243050.0,232608.0,253698.0,306199.0,390828.0
167,153130.0,172130.0,208054.0,210346.0,244166.0,244482.0,234004.0,255230.0,308013.0,393144.0
168,154026.0,173133.0,209266.0,211578.0,245596.0,245914.0,235400.0,256762.0,309827.0,395460.0
169,154922.0,174136.0,210478.0,212810.0,247026.0,247346.0,236796.0,258294.0,311641.0,397776.0
170,155818.0,175139.0,211690.0,214042.0,248456.0,248778.0,238192.0,259826.0,313455.0,400092.0
171,156714.0,176142.0,212902.0,215274.0,249886.0,250210.0,239588.0,261358.0,315269.0,402408.0
172,157610.0,177145.0,214114.0,216506.0,251316.0,251642.0,240984.0,262890.0,317083.0,404724.0
173,158506.0,178148.0,215326.0,217738.0,252746.0,253074.0,242380.0,264422.0,318897.0,407040.0
174,159402.0,179151.0,216538.0,218970.0,254176.0,254506.0,243776.0,265954.0,320711.0,409356.0
175,160298.0,180154.0,217750.0,220202.0,255606.0,255938.0,245172.0,267486.0,322525.0,411672.0
176,161194.0,181157.0,218962.0,221434.0,257036.0,257370.0,246568.0,269018.0,324339.0,413988.0
177,162090.0,182160.0,220174.0,222666.0,258466.0,258802.0,247964.0,270550.0,326153.0,416304.0
178,162986.0,183163.0,221386.0,223898.0,259896.0,260234.0,249360.0,272082.0,327967.0,418620.0
179,163882.0,184166.0,222598.0,225130.0,261326.0,261666.0,250756.0,273614.0,329781.0,420936.0
180,164778.0,185169.0,223810.0,226362.0,262756.0,263098.0,252152.0,275146.0,331595.0,423252.0
181,165674.0,186172.0,225022.0,227594.0,264186.0,264530.0,253548.0,276678.0,333409.0,425568.0
182,166570.0,187175.0,226234.0,228826.0,265616.0,265962.0,254944.0,278210.0,335223.0,427884.0
183,167466.0,188178.0,227446.0,230058.0,267046.0,267394.0,256340.0,279742.0,337037.0,430200.0
184,168362.0,189181.0,228658.0,231290.0,268476.0,268826.0,257736.0,281274.0,338851.0,432516.0
185,169258.0,190184.0,229870.0,232522.0,269906.0,270258.0,259132.0,282806.0,340665.0,434832.0
186,170154.0,191187.0,231082.0,233754.0,271336.0,271690.0,260528.0,284338.0,342479.0,437148.0
187,171050.0,192190.0,232294.0,234986.0,272766.0,273122.0,261924.0,285870.0,344293.0,439464.0
188,171946.0,193193.0,233506.0,236218.0,274196.0,274554.0,263320.0,287402.0,346107.0,441780.0
189,172842.0,194196.0,234718.0,237450.0,275626.0,275986.0,264716.0,288934.0,347921.0,444096.0
190,173738.0,195199.0,235930.0,238682.0,277056.0,277418.0,266112.0,290466.0,349735.0,446412.0
191,174634.0,196202.0,237142.0,239914.0,278486.0,278850.0,267508.0,291998.0,351549.0,448728.0
192,175530.0,197205.0,238354.0,241146.0,279916.0,280282.0,268904.0,293530.0,353363.0,451044.0
193,176426.0,198208.0,239566.0,242378.0,281346.0,281714.0,270300.0,295062.0,355177.0,453360.0
194,177322.0,199211.0,240778.0,243610.0,282776.0,283146.0,271696.0,296594.0,356991.0,455676.0
195,178218.0,200214.0,241990.0,244842.0,284206.0,284578.0,273092.0,298126.0,358805.0,457992.0
196,179114.0,201217.0,243202.0,246074.0,285636.0,286010.0,274488.0,299658.0,360619.0,460308.0
197,180010.0,202220.0,244414.0,247306.0,287066.0,287442.0,275884.0,301190.0,362433.0,462624.0
198,180906.0,203223.0,245626.0,248538.0,288496.0,288874.0,277280.0,302722.0,364247.0,464940.0
199,181802.0,204226.0,246838.0,249770.0,289926.0,290306.0,278676.0,304254.0,366061.0,467256.0
200,182698.0,205229.0,248050.0,251002.0,291356.0,291738.0,280072.0,305786.0,367875.0,469572.0
